"gene_compare","fc_mean","p_mean","support_n","final","Confidence(%)"
"ENSG00000000419 HCC1395/HCC1395BL",1.31623487281342,1.06971193781698e-198,8,"non-DEG",100
"ENSG00000000457 HCC1395/HCC1395BL",0.92237676389143,4.81564533820257e-150,8,"non-DEG",100
"ENSG00000000460 HCC1395/HCC1395BL",0.650494953472321,1.35698055519323e-291,8,"non-DEG",100
"ENSG00000000938 HCC1395/HCC1395BL",0.00105810831693524,0,8,"down-regulate",100
"ENSG00000001036 HCC1395/HCC1395BL",1.75546542735912,0,7.66666666666667,"non-DEG",95.8333333333333
"ENSG00000001084 HCC1395/HCC1395BL",6.77478933506094,0,8,"up-regulate",100
"ENSG00000001460 HCC1395/HCC1395BL",46.4439859446126,0,8,"up-regulate",100
"ENSG00000001461 HCC1395/HCC1395BL",9.28931532185437,0,8,"up-regulate",100
"ENSG00000001497 HCC1395/HCC1395BL",0.606066831059191,0,8,"non-DEG",100
"ENSG00000001561 HCC1395/HCC1395BL",1.06616576271412,5.55098163280783e-27,8,"non-DEG",100
"ENSG00000001629 HCC1395/HCC1395BL",1.23659111027766,0,8,"non-DEG",100
"ENSG00000001630 HCC1395/HCC1395BL",1.77207959730728,9.05012743978003e-146,7,"non-DEG",87.5
"ENSG00000002016 HCC1395/HCC1395BL",1.12936696236547,6.4627133872803e-122,8,"non-DEG",100
"ENSG00000002330 HCC1395/HCC1395BL",2.17950896180596,0,7,"up-regulate",87.5
"ENSG00000002549 HCC1395/HCC1395BL",0.127891365649547,0,8,"down-regulate",100
"ENSG00000002586 HCC1395/HCC1395BL",4.24595558788208,0,8,"up-regulate",100
"ENSG00000002587 HCC1395/HCC1395BL",1.73907446403445,7.2393696129631e-199,7.5,"non-DEG",93.75
"ENSG00000002834 HCC1395/HCC1395BL",1.09452106536955,1.07457622598056e-102,8,"non-DEG",100
"ENSG00000003056 HCC1395/HCC1395BL",1.33956974123183,6.31426434098215e-282,8,"non-DEG",100
"ENSG00000003096 HCC1395/HCC1395BL",0.252689928696625,0,8,"down-regulate",100
"ENSG00000003249 HCC1395/HCC1395BL",3.01360888690396,0,8,"up-regulate",100
"ENSG00000003393 HCC1395/HCC1395BL",1.07051331454021,2.9849025074191e-42,8,"non-DEG",100
"ENSG00000003400 HCC1395/HCC1395BL",0.0130148001187076,0,8,"down-regulate",100
"ENSG00000003402 HCC1395/HCC1395BL",0.275840643406909,0,8,"down-regulate",100
"ENSG00000003436 HCC1395/HCC1395BL",0.151906633885125,0,8,"down-regulate",100
"ENSG00000003509 HCC1395/HCC1395BL",0.427626513983302,0,7.5,"down-regulate",93.75
"ENSG00000003756 HCC1395/HCC1395BL",1.4756968338052,0,8,"non-DEG",100
"ENSG00000003989 HCC1395/HCC1395BL",11.3305367935295,0,8,"up-regulate",100
"ENSG00000004059 HCC1395/HCC1395BL",1.59605259052452,0,8,"non-DEG",100
"ENSG00000004142 HCC1395/HCC1395BL",0.679216590513207,0,8,"non-DEG",100
"ENSG00000004399 HCC1395/HCC1395BL",249.656340537668,0,8,"up-regulate",100
"ENSG00000004455 HCC1395/HCC1395BL",0.789787226260618,0,8,"non-DEG",100
"ENSG00000004478 HCC1395/HCC1395BL",1.05845437147508,1.40363005349904e-17,8,"non-DEG",100
"ENSG00000004487 HCC1395/HCC1395BL",0.853667954312992,3.71044972673972e-309,8,"non-DEG",100
"ENSG00000004534 HCC1395/HCC1395BL",1.25340215724892,2.17300735211847e-293,8,"non-DEG",100
"ENSG00000004660 HCC1395/HCC1395BL",15.568812966553,0,8,"up-regulate",100
"ENSG00000004700 HCC1395/HCC1395BL",0.691271490401992,0,8,"non-DEG",100
"ENSG00000004766 HCC1395/HCC1395BL",1.73631131902944,0,8,"non-DEG",100
"ENSG00000004777 HCC1395/HCC1395BL",0.470158160422618,0,6,"down-regulate",75
