"u_logFC","num","perc","type"
"0~15%",6903,0.790088130937393,"ulst"
"15~30%",1297,0.148449124413414,"ulst"
"30~45%",314,0.035939109534165,"ulst"
"45~60%",140,0.0160238067986723,"ulst"
"60%~",83,0.00949982831635573,"ulst"
"0~15%",8592,1,"usw4"
"15~30%",0,0,"usw4"
"30~45%",0,0,"usw4"
"45~60%",0,0,"usw4"
"60%~",0,0,"usw4"
"0~15%",0,NA,"ukd"
"15~30%",0,NA,"ukd"
"30~45%",0,NA,"ukd"
"45~60%",0,NA,"ukd"
"60%~",0,NA,"ukd"
"0~15%",8580,1,"usw25"
"15~30%",0,0,"usw25"
"30~45%",0,0,"usw25"
"45~60%",0,0,"usw25"
"60%~",0,0,"usw25"
"0~15%",8578,1,"uco2"
"15~30%",0,0,"uco2"
"30~45%",0,0,"uco2"
"45~60%",0,0,"uco2"
"60%~",0,0,"uco2"
"0~15%",5196,0.782530120481928,"uts"
"15~30%",1012,0.152409638554217,"uts"
"30~45%",251,0.0378012048192771,"uts"
"45~60%",114,0.0171686746987952,"uts"
"60%~",67,0.0100903614457831,"uts"
"0~15%",5010,0.754518072289157,"uc"
"15~30%",1050,0.158132530120482,"uc"
"30~45%",266,0.0400602409638554,"uc"
"45~60%",112,0.0168674698795181,"uc"
"60%~",202,0.030421686746988,"uc"
"0~15%",2976,0.448192771084337,"U"
"15~30%",2034,0.306325301204819,"U"
"30~45%",750,0.112951807228916,"U"
"45~60%",300,0.0451807228915663,"U"
"60%~",580,0.0873493975903614,"U"
