"gene_compare","fc_mean","p_mean","freq","N_non","N_down","final","compare","usample","gene","uchar","homoge","ubb_1_logFC","uwb_1_logFC","uhom_logFC","long_stability","ulst","kd_stability","uskd","dw4_stability","usw4","dw24_stability","usw25","dwCO2_stability","usco2","uts","uc","U"
"ENSG00000000457 HCC1395/HCC1395BL",0.922376764,4.82e-150,3,3,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000000457",0.027378095,FALSE,0.006519306,0.00268141,0.007055603,FALSE,0.142076015,"FALSE","0.015017712","FALSE",0.002853294,"TRUE","0.00015955","FALSE",0.001732362,0.142115222277663,0.144900234722213,0.289800469444425
"ENSG00000000460 HCC1395/HCC1395BL",0.650494953,1.36e-291,3,3,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000000460",0.008919605,FALSE,0.006909216,0.006574508,0.010113881,FALSE,0.074600167,"FALSE","0.007867675","FALSE",0.005525278,"TRUE","3.65215E-05","FALSE",0.002679542,0.0748524786412243,0.0760575012801047,0.152115002560209
"ENSG00000001460 HCC1395/HCC1395BL",46.44398594,0,3,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000001460",0.04768747,FALSE,4359.27022,18.48930431,4359.371111,FALSE,0.489262569,"FALSE","0.040592691","FALSE",0.104683583,"FALSE","8.07643E-05","FALSE",0.014982103,0.500560663041454,4359.37113999903,8718.74227999806
"ENSG00000001461 HCC1395/HCC1395BL",9.289315322,0,3,0,0,"up-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000001461",0.014969145,FALSE,0.016409812,0.005512594,0.017327001,FALSE,0.056644853,"FALSE","0.00900683","FALSE",0.006447653,"FALSE","0.000509962","FALSE",0.004366136,0.057177572038086,0.0615920044312209,0.123184008862442
"ENSG00000001561 HCC1395/HCC1395BL",1.066165763,5.55e-27,3,3,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000001561",0.012079659,FALSE,0.004254705,0.005823343,0.007233045,FALSE,0.076180888,"FALSE","0.043471059","FALSE",0.007960705,"FALSE","0.000650742","FALSE",0.004509693,0.0767283379952923,0.078009441435304,0.156018882870608
"ENSG00000001629 HCC1395/HCC1395BL",1.23659111,0,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000001629",0.009530698,FALSE,0.004571851,0.003167299,0.005685839,FALSE,0.034833781,"FALSE","0.01837758","FALSE",0.00240049,"FALSE","0.000270082","FALSE",0.001708131,0.034958151588853,0.0366774499114967,0.0733548998229933
"ENSG00000001630 HCC1395/HCC1395BL",1.772079597,9.05e-146,3,3,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000001630",0.02828811,FALSE,0.036106781,0.011725694,0.03865304,FALSE,0.196351322,"FALSE","0.027887563","FALSE",0.004465878,"FALSE","3.78594E-05","FALSE",0.002705378,0.196420734108142,0.202176604621294,0.404353209242589
"ENSG00000002016 HCC1395/HCC1395BL",1.129366962,6.46e-122,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000002016",0.009757269,FALSE,0.011625676,0.00416819,0.012564222,FALSE,0.044812228,"FALSE","0.001669665","FALSE",0.004250058,"FALSE","0.0001053","FALSE",0.002535531,0.0450846724373074,0.0478089077639612,0.0956178155279225
"ENSG00000002549 HCC1395/HCC1395BL",0.127891366,0,2,0,2,"down-regulate","HCC1395/HCC1395BL","HCC1395","ENSG00000002549",0.008838526,FALSE,0.006965399,0.003102441,0.007714761,FALSE,0.051551127,"FALSE","0.007445484","FALSE",0.005610567,"FALSE","9.23753E-05","FALSE",0.003389227,0.0519661814711178,0.0532740189569826,0.106548037913965
"ENSG00000002587 HCC1395/HCC1395BL",1.739074464,7.24e-199,2,2,0,"non-DEG","HCC1395/HCC1395BL","HCC1395","ENSG00000002587",0.023396945,FALSE,0.003498142,0.010476889,0.011800132,FALSE,0.180389961,"FALSE","0.009376213","FALSE",0.005881396,"FALSE","0.000786875","FALSE",0.005783291,0.180578446397351,0.182469820665861,0.364939641331722
