Sample	sequenced_bases	general_error_rate	mapped_bases	mapped_reads	total_reads	bam_file	median_insert_size	mean_coverage	mean_insert_size	mean_mapping_quality
ARG_PolyA_HCC1395BL_1	11708056329.0	0.0002	145093601252.0	79247966.0	79979530.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	386.0	46.8082	3125.5295	21.8553
ARG_PolyA_HCC1395BL_2	11652995645.0	0.0002	139886592258.0	78192806.0	78796856.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	353.0	45.1283	3295.1719	20.2129
ARG_PolyA_HCC1395BL_3	11598429935.0	0.0002	139133930004.0	78200472.0	78887120.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	394.0	44.8855	3096.0986	21.3381
ARG_PolyA_HCC1395_1	12166819573.0	0.0002	150019119145.0	82031044.0	82339870.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	434.0	48.3972	3101.6463	19.5943
ARG_PolyA_HCC1395_2	11748063360.0	0.0002	142259564440.0	79251932.0	79562568.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	446.0	45.8939	3087.5027	21.8991
ARG_PolyA_HCC1395_3	11441573056.0	0.0002	137961286273.0	77025010.0	77304932.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	452.0	44.5072	3077.9524	21.0679
BMK_RiboZero_HCC1395BL_1	18936350510.0	0.0003	142868340319.0	127156425.0	133391350.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395BL_1.Aligned.sortedByCoord.out.bam	443.0	46.0903	3113.832	36.7194
BMK_RiboZero_HCC1395BL_2	17325053751.0	0.0003	133204537934.0	116317001.0	121664604.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395BL_2.Aligned.sortedByCoord.out.bam	450.0	42.9727	3240.5639	33.4947
BMK_RiboZero_HCC1395BL_3	19739883474.0	0.0003	141747957820.0	132654302.0	138945038.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395BL_3.Aligned.sortedByCoord.out.bam	400.0	45.7288	2711.4137	35.4525
BMK_RiboZero_HCC1395_1	18333984678.0	0.0003	151109488079.0	123130342.0	129723336.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395_1.Aligned.sortedByCoord.out.bam	465.0	48.7489	3495.3189	36.3581
BMK_RiboZero_HCC1395_2	17652184672.0	0.0003	149473708923.0	118545199.0	124798930.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395_2.Aligned.sortedByCoord.out.bam	441.0	48.2212	3388.9107	35.6046
BMK_RiboZero_HCC1395_3	18842462767.0	0.0002	155110659290.0	126545544.0	131830966.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395_3.Aligned.sortedByCoord.out.bam	425.0	50.0397	3279.2857	32.881
M8_2	21593431552.0	0.0001	622147027300.0	178323218.0	181651418.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/M8_2.Aligned.sortedByCoord.out.bam	150.0	200.7087	3804.5208	39.5385
MGI_PolyA_HCC1395BL_0313_1	11775185491.0	0.0004	131855332793.0	78951278.0	79950196.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_0313_1.Aligned.sortedByCoord.out.bam	425.0	42.5374	3396.046	22.4299
MGI_PolyA_HCC1395BL_0313_2	11775774638.0	0.0004	132010841304.0	78974942.0	79951178.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_0313_2.Aligned.sortedByCoord.out.bam	441.0	42.5876	3501.4653	22.1703
MGI_PolyA_HCC1395BL_0313_3	11112398209.0	0.0004	124026796900.0	74518490.0	75427424.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_0313_3.Aligned.sortedByCoord.out.bam	449.0	40.0119	3583.7545	23.5943
MGI_PolyA_HCC1395BL_1	6107874502.0	0.0002	63132634168.0	40870806.0	45318596.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	440.0	20.367	3480.4592	22.3323
