"Mean Sequence Quality (Phred Score)"	"ARG_PolyA_HCC1395BL_1_R1"	"ARG_PolyA_HCC1395BL_1_R2"	"ARG_PolyA_HCC1395BL_2_R1"	"ARG_PolyA_HCC1395BL_2_R2"	"ARG_PolyA_HCC1395BL_3_R1"	"ARG_PolyA_HCC1395BL_3_R2"	"ARG_PolyA_HCC1395_1_R1"	"ARG_PolyA_HCC1395_1_R2"	"ARG_PolyA_HCC1395_2_R1"	"ARG_PolyA_HCC1395_2_R2"	"ARG_PolyA_HCC1395_3_R1"	"ARG_PolyA_HCC1395_3_R2"	"BMK_RiboZero_HCC1395BL_1_R1"	"BMK_RiboZero_HCC1395BL_1_R2"	"BMK_RiboZero_HCC1395BL_2_R1"	"BMK_RiboZero_HCC1395BL_2_R2"	"BMK_RiboZero_HCC1395BL_3_R1"	"BMK_RiboZero_HCC1395BL_3_R2"	"BMK_RiboZero_HCC1395_1_R1"	"BMK_RiboZero_HCC1395_1_R2"	"BMK_RiboZero_HCC1395_2_R1"	"BMK_RiboZero_HCC1395_2_R2"	"BMK_RiboZero_HCC1395_3_R1"	"BMK_RiboZero_HCC1395_3_R2"	"MGI_PolyA_HCC1395BL_0313_1_R1"	"MGI_PolyA_HCC1395BL_0313_1_R2"	"MGI_PolyA_HCC1395BL_0313_2_R1"	"MGI_PolyA_HCC1395BL_0313_2_R2"	"MGI_PolyA_HCC1395BL_0313_3_R1"	"MGI_PolyA_HCC1395BL_0313_3_R2"	"MGI_PolyA_HCC1395BL_1_1_R1"	"MGI_PolyA_HCC1395BL_1_1_R2"	"MGI_PolyA_HCC1395BL_1_2_R1"	"MGI_PolyA_HCC1395BL_1_2_R2"	"MGI_PolyA_HCC1395BL_1_3_R1"	"MGI_PolyA_HCC1395BL_1_3_R2"	"MGI_PolyA_HCC1395BL_1_R1"	"MGI_PolyA_HCC1395BL_1_R2"	"MGI_PolyA_HCC1395BL_2_1_R1"	"MGI_PolyA_HCC1395BL_2_1_R2"	"MGI_PolyA_HCC1395BL_2_2_R1"	"MGI_PolyA_HCC1395BL_2_2_R2"	"MGI_PolyA_HCC1395BL_2_3_R1"	"MGI_PolyA_HCC1395BL_2_3_R2"	"MGI_PolyA_HCC1395BL_2_R1"	"MGI_PolyA_HCC1395BL_2_R2"	"MGI_PolyA_HCC1395BL_3_1_R1"	"MGI_PolyA_HCC1395BL_3_1_R2"	"MGI_PolyA_HCC1395BL_3_2_R1"	"MGI_PolyA_HCC1395BL_3_2_R2"	"MGI_PolyA_HCC1395BL_3_3_R1"	"MGI_PolyA_HCC1395BL_3_3_R2"	"MGI_PolyA_HCC1395BL_3_R1"	"MGI_PolyA_HCC1395BL_3_R2"	"MGI_PolyA_HCC1395_0313_1_R1"	"MGI_PolyA_HCC1395_0313_1_R2"	"MGI_PolyA_HCC1395_0313_2_R1"	"MGI_PolyA_HCC1395_0313_2_R2"	"MGI_PolyA_HCC1395_0313_3_R1"	"MGI_PolyA_HCC1395_0313_3_R2"	"MGI_PolyA_HCC1395_1_1_R1"	"MGI_PolyA_HCC1395_1_1_R2"	"MGI_PolyA_HCC1395_1_2_R1"	"MGI_PolyA_HCC1395_1_2_R2"	"MGI_PolyA_HCC1395_1_3_R1"	"MGI_PolyA_HCC1395_1_3_R2"	"MGI_PolyA_HCC1395_1_R1"	"MGI_PolyA_HCC1395_1_R2"	"MGI_PolyA_HCC1395_2_1_R1"	"MGI_PolyA_HCC1395_2_1_R2"	"MGI_PolyA_HCC1395_2_2_R1"	"MGI_PolyA_HCC1395_2_2_R2"	"MGI_PolyA_HCC1395_2_3_R1"	"MGI_PolyA_HCC1395_2_3_R2"	"MGI_PolyA_HCC1395_2_R1"	"MGI_PolyA_HCC1395_2_R2"	"MGI_PolyA_HCC1395_3_1_R1"	"MGI_PolyA_HCC1395_3_1_R2"	"MGI_PolyA_HCC1395_3_2_R1"	"MGI_PolyA_HCC1395_3_2_R2"	"MGI_PolyA_HCC1395_3_3_R1"	"MGI_PolyA_HCC1395_3_3_R2"	"MGI_PolyA_HCC1395_3_R1"	"MGI_PolyA_HCC1395_3_R2"	"MGI_RiboZero_HCC1395BL_1_R1"	"MGI_RiboZero_HCC1395BL_1_R2"	"MGI_RiboZero_HCC1395BL_2_R1"	"MGI_RiboZero_HCC1395BL_2_R2"	"MGI_RiboZero_HCC1395BL_3_R1"	"MGI_RiboZero_HCC1395BL_3_R2"	"MGI_RiboZero_HCC1395_1_R1"	"MGI_RiboZero_HCC1395_1_R2"	"MGI_RiboZero_HCC1395_2_R1"	"MGI_RiboZero_HCC1395_2_R2"	"MGI_RiboZero_HCC1395_3_R1"	"MGI_RiboZero_HCC1395_3_R2"	"NVG_PolyA_HCC1395BL_1_R1"	"NVG_PolyA_HCC1395BL_1_R2"	"NVG_PolyA_HCC1395BL_2_R1"	"NVG_PolyA_HCC1395BL_2_R2"	"NVG_PolyA_HCC1395BL_3_R1"	"NVG_PolyA_HCC1395BL_3_R2"	"NVG_PolyA_HCC1395_1_R1"	"NVG_PolyA_HCC1395_1_R2"	"NVG_PolyA_HCC1395_2_R1"	"NVG_PolyA_HCC1395_2_R2"	"NVG_PolyA_HCC1395_3_R1"	"NVG_PolyA_HCC1395_3_R2"	"SEQ_PolyA_HCC1395BL_1_R1"	"SEQ_PolyA_HCC1395BL_1_R2"	"SEQ_PolyA_HCC1395BL_2_R1"	"SEQ_PolyA_HCC1395BL_2_R2"	"SEQ_PolyA_HCC1395BL_3_R1"	"SEQ_PolyA_HCC1395BL_3_R2"	"SEQ_PolyA_HCC1395BL_4_R1"	"SEQ_PolyA_HCC1395BL_4_R2"	"SEQ_PolyA_HCC1395BL_5_R1"	"SEQ_PolyA_HCC1395BL_5_R2"	"SEQ_PolyA_HCC1395BL_6_R1"	"SEQ_PolyA_HCC1395BL_6_R2"	"SEQ_PolyA_HCC1395_1_R1"	"SEQ_PolyA_HCC1395_1_R2"	"SEQ_PolyA_HCC1395_2_R1"	"SEQ_PolyA_HCC1395_2_R2"	"SEQ_PolyA_HCC1395_3_R1"	"SEQ_PolyA_HCC1395_3_R2"	"SEQ_PolyA_HCC1395_4_R1"	"SEQ_PolyA_HCC1395_4_R2"	"SEQ_PolyA_HCC1395_5_R1"	"SEQ_PolyA_HCC1395_5_R2"	"SEQ_PolyA_HCC1395_6_R1"	"SEQ_PolyA_HCC1395_6_R2"	"SEQ_RiboZero_HCC1395BL_1_R1"	"SEQ_RiboZero_HCC1395BL_1_R2"	"SEQ_RiboZero_HCC1395BL_2_R1"	"SEQ_RiboZero_HCC1395BL_2_R2"	"SEQ_RiboZero_HCC1395BL_3_R1"	"SEQ_RiboZero_HCC1395BL_3_R2"	"SEQ_RiboZero_HCC1395BL_4_R1"	"SEQ_RiboZero_HCC1395BL_4_R2"	"SEQ_RiboZero_HCC1395BL_5_R1"	"SEQ_RiboZero_HCC1395BL_5_R2"	"SEQ_RiboZero_HCC1395BL_6_R1"	"SEQ_RiboZero_HCC1395BL_6_R2"	"SEQ_RiboZero_HCC1395_1_R1"	"SEQ_RiboZero_HCC1395_1_R2"	"SEQ_RiboZero_HCC1395_2_R1"	"SEQ_RiboZero_HCC1395_2_R2"	"SEQ_RiboZero_HCC1395_3_R1"	"SEQ_RiboZero_HCC1395_3_R2"	"SEQ_RiboZero_HCC1395_4_R1"	"SEQ_RiboZero_HCC1395_4_R2"	"SEQ_RiboZero_HCC1395_5_R1"	"SEQ_RiboZero_HCC1395_5_R2"	"SEQ_RiboZero_HCC1395_6_R1"	"SEQ_RiboZero_HCC1395_6_R2"
21																																																																																									1
22																															1										1																																																0
23																															0										0																																				1												0						1
24																															0	1									0	1																							1												0		1						1				1				1		0																																											1		1														1
25																															0	2	1	3		5				4	0	5		3				5		5		1										1		5	0	5				3		3		5			0	1	0	3	1	3			0	6	3	8	0	17	1	9	0	10	0	15																																								2		4		5		2		5		5		2		5		2		3		3
26			1			1		2					18	17	14	14	31	26	27	12	24	9	22	21							14	189	15	212	18	228			18	217	16	175	19	212			22	208	14	200	14	219									18	237	15	196	25	210			14	186	20	197	15	241			14	220	20	159	26	213			16	313	19	393	16	335	11	385	18	418	24	381	19	24	19	18	14	27	9	20	22	9	12	18							1				1	1								2						62		56	1	47		58		56		43		50		52		64		21		33		38
27		4	2	5	1	3		4	4	9	1	4	3501	3480	2890	3109	4936	4694	3369	3519	3042	3179	3372	3773		1388		1505		1655	631	4769	682	4673	803	5701		3276	701	5148	607	4716	774	4872	1	3214	656	4207	595	4318	446	3798		3136		1498		1463		1475	676	5190	679	4884	763	5260		3233	660	4685	670	4452	688	5018		3503	595	4665	572	3772	645	4294	2	3113	438	4566	401	5868	459	4674	459	5001	753	5092	478	4989	4443	3773	3931	3399	4370	3908	3779	3405	3686	3230	3402	2930		14		11		14	2	16	1	10	3	19	2	14	2	6	2	12	1	17		16	1	14		349	3	367	2	367	1	384	1	426	3	305		487	2	429	1	472	2	266	4	373	4	381
28	111	3153	126	2864	160	3271	167	3220	136	3722	147	3598	55872	73049	54872	64489	67129	53163	56067	70870	53543	73350	59838	67472	862	253802	869	283906	841	299114	32732	96460	32643	86541	39446	100271	47393	114493	37068	99878	33703	86575	37292	87017	51092	110638	34110	77258	32120	81696	27181	76658	53862	112034	921	268443	909	270530	781	274525	34868	99114	34506	91396	37063	92601	50441	113882	33230	86338	32211	84214	34791	91670	50205	126521	30449	85439	27694	81916	30586	82527	50538	110482	60689	48867	61254	57646	61630	56019	62136	52218	90965	50665	59400	51483	65942	46714	59332	50120	69331	47473	58415	51817	57020	48437	57616	40063	177	661	155	589	251	709	182	618	187	671	190	649	214	641	207	594	142	574	220	691	239	726	291	663	122	5021	216	5113	106	4690	115	5395	159	5445	137	4989	152	6067	157	6272	192	5675	169	3945	181	5174	167	5760
29	16567	64504	22950	64879	21360	77995	21863	73012	20461	85219	22125	82590	227994	315651	239076	284134	220475	187041	236482	305408	228727	327465	254513	288661	57922	934636	55026	1030408	57906	1069576	163017	368819	161571	325581	195470	381411	233871	351522	180235	375112	168910	330075	180975	318488	254661	343124	175014	342342	164680	359155	142752	338252	266696	352032	61577	973573	58202	988123	54516	1005257	172807	371365	170899	344899	182979	342962	251043	351734	165007	320396	156878	318985	171134	343126	253425	400083	151150	317868	143364	359754	157153	354715	253977	347232	468967	321622	484592	350696	477911	372567	476121	320574	642975	293115	447943	314442	246667	162698	225894	185020	261713	165597	228585	198255	224436	179902	235796	146139	4879	24367	4739	21990	8201	25155	5997	22623	6492	24914	5956	23640	6213	23078	6177	19507	4612	19975	6614	25582	8042	26209	9180	23544	4155	128459	5364	124325	4124	129320	4087	166887	5137	144292	3941	141952	5656	135205	4346	154919	5917	119739	4863	107419	5275	117168	4790	137292
30	85655	257061	117602	280555	105470	338570	113311	322517	103802	360065	111108	349542	381254	509916	402780	462863	345968	304804	394137	490995	383906	527997	423396	468466	322794	1291339	310244	1405250	334433	1441010	272725	568868	267968	501311	320007	583249	464291	538683	297163	576124	281870	512374	297409	495461	505193	528078	287750	545544	273199	570866	243433	536060	527044	543845	347371	1328226	322376	1353761	312641	1390114	285924	564272	284622	530495	301023	526239	497366	540935	272023	497585	264035	490322	285023	526915	507856	613289	252255	493181	235103	559166	264371	553719	506519	535341	777504	589445	804188	636361	795069	669802	784640	581034	1017879	532927	743897	572041	385872	255634	358809	289126	413449	265127	369442	310764	358082	284846	384371	237067	25967	211169	25674	187631	44030	210180	32974	187842	34739	211196	32531	195553	32701	188569	31161	159866	24642	159229	35055	205963	41566	218337	45928	190069	35880	1007561	43197	927606	35230	1026128	29645	1334233	39179	1145503	30315	1126762	44504	1000821	33451	1148548	47406	863521	34579	853074	39977	878157	36691	1031187
31	160197	440615	227724	485278	194075	559515	214345	538296	194430	589877	208103	571438	538998	752062	575095	701830	480609	452972	557084	724759	542946	786724	591940	692054	647948	1766241	628306	1897157	687287	1928182	456226	815605	435633	720257	513341	828876	732928	740929	486502	826006	461550	733461	483673	719535	789551	734214	458903	775136	441751	812639	404433	765532	820336	750732	707629	1796982	647297	1833165	641036	1895763	466083	801165	466240	765984	483927	748046	781198	748671	446053	725943	436895	703965	467541	756974	805105	835450	416519	720776	377245	778799	434752	783381	791657	738557	1059529	788642	1095859	848341	1086759	888297	1070197	779823	1353376	729027	1020568	770959	518361	371007	488173	413065	557346	388164	511104	446302	488592	412031	529489	352439	53418	534481	53167	470700	88230	512601	68244	461986	70445	518143	66327	477574	67310	460329	62359	386830	51147	390858	70751	487782	81883	524452	89486	454624	101361	1948163	115921	1819904	97978	2012441	76399	2541122	102256	2216779	80504	2195103	119668	1929277	88609	2183226	128004	1662774	87928	1709423	103233	1723694	97082	1996247
32	227390	641808	334588	699756	276344	773069	305790	746223	278633	802280	299263	785290	752565	1200177	812594	1160593	672013	727629	775550	1161552	757725	1269661	818227	1099275	1335897	2571268	1315075	2723454	1446893	2737117	883756	1281654	820302	1133455	941165	1278967	1255136	1119376	916636	1300185	865342	1156908	908150	1149557	1337528	1109312	842133	1212700	825304	1276041	783556	1205171	1380785	1128711	1472538	2597332	1337289	2645985	1357950	2746014	864263	1247166	880670	1208186	889722	1165706	1329262	1129055	839429	1163134	844655	1107060	877112	1187437	1376472	1237585	795084	1151338	703513	1191077	826621	1217934	1336394	1110363	1520190	1118651	1569513	1197349	1567118	1248286	1528945	1110055	1883862	1061929	1474345	1092243	687531	558544	655837	616870	741116	586662	696946	670548	657062	617082	721130	543114	80019	750846	80311	666418	131910	713976	102582	645432	106232	721369	100450	665709	100795	639778	92208	537004	78720	550793	105820	671355	121545	720396	131124	627545	167973	2358386	189624	2255509	162375	2456212	125914	3017819	168198	2682532	132766	2674015	195761	2361840	144485	2626155	202425	2022371	141305	2111744	166556	2113743	158837	2420298
33	324482	974108	492223	1048732	391706	1112397	435624	1086109	399884	1140242	431132	1127399	1080035	2185605	1195265	2179647	981674	1339401	1114047	2120887	1087683	2335755	1166172	1988935	3832557	4704918	3843145	4901998	4118296	4834250	2297552	2429457	2050904	2161847	2261963	2370083	2557014	2023800	2287162	2467784	2144896	2206662	2266514	2223697	2673554	2014927	2043701	2284879	2052285	2404373	2039517	2294432	2744128	2041025	4191578	4700162	3855794	4775707	3965218	4970900	2116184	2331266	2205984	2305960	2127834	2181755	2683890	2048846	2108803	2259126	2170749	2121191	2181294	2247339	2770531	2185514	2025754	2241460	1761272	2153837	2094007	2278292	2671044	2002351	2256213	1702899	2327383	1817500	2338238	1883728	2265983	1694755	2732499	1655203	2204915	1662118	949595	921641	920897	1019742	1026565	954230	984090	1102595	917409	1008323	1031533	910251	113876	931377	115047	828524	184963	883574	146759	797493	150804	892090	143614	827808	142702	793743	129487	666491	112153	695656	149778	823644	171296	880742	182004	774204	248724	2698932	278395	2638634	241940	2827696	188458	3387345	249346	3078120	198630	3075522	287220	2730574	214871	2977965	291128	2328293	206983	2444811	242795	2433422	232181	2762952
