Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ARG_PolyA_HCC1395BL_1_R1	ARG_PolyA_HCC1395BL_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39989765.0	5.9 Gbp	0.0	31-150	50.0	45.85758662442153	148.10716081977475	150	pass	pass		pass	warn	pass	pass	warn	fail	pass	pass
ARG_PolyA_HCC1395BL_1_R2	ARG_PolyA_HCC1395BL_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39989765.0	5.9 Gbp	0.0	31-150	49.0	48.06920925256618	148.10716081977475	150	pass	pass		pass	warn	pass	pass	warn	fail	pass	pass
ARG_PolyA_HCC1395BL_2_R1	ARG_PolyA_HCC1395BL_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39398428.0	5.8 Gbp	0.0	31-150	48.0	40.53273670388589	149.35460257449867	150	pass	pass		pass	warn	warn	pass	warn	fail	pass	pass
ARG_PolyA_HCC1395BL_2_R2	ARG_PolyA_HCC1395BL_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39398428.0	5.8 Gbp	0.0	31-150	48.0	42.785979651662	149.35460257449867	150	pass	pass		pass	warn	warn	pass	warn	fail	pass	pass
ARG_PolyA_HCC1395BL_3_R1	ARG_PolyA_HCC1395BL_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39443560.0	5.8 Gbp	0.0	31-150	49.0	47.42507321520779	148.724058654949	150	pass	pass		pass	warn	pass	pass	warn	fail	pass	pass
ARG_PolyA_HCC1395BL_3_R2	ARG_PolyA_HCC1395BL_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39443560.0	5.8 Gbp	0.0	31-150	49.0	50.5102457712986	148.724058654949	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
ARG_PolyA_HCC1395_1_R1	ARG_PolyA_HCC1395_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41169935.0	6.1 Gbp	0.0	31-150	50.0	45.161999613123776	148.6502395498074	150	pass	pass		pass	warn	pass	pass	warn	fail	pass	pass
ARG_PolyA_HCC1395_1_R2	ARG_PolyA_HCC1395_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41169935.0	6.1 Gbp	0.0	31-150	50.0	47.97696341677229	148.6502395498074	150	pass	pass		pass	warn	pass	pass	warn	fail	pass	pass
ARG_PolyA_HCC1395_2_R1	ARG_PolyA_HCC1395_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39781284.0	5.9 Gbp	0.0	31-150	50.0	47.593174138166496	148.58026749463392	150	pass	pass		pass	warn	pass	pass	warn	fail	pass	pass
ARG_PolyA_HCC1395_2_R2	ARG_PolyA_HCC1395_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39781284.0	5.9 Gbp	0.0	31-150	50.0	50.64462318017987	148.58026749463392	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
ARG_PolyA_HCC1395_3_R1	ARG_PolyA_HCC1395_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38652466.0	5.7 Gbp	0.0	31-150	50.0	47.28568995609564	148.8919627016812	150	pass	pass		pass	warn	pass	pass	warn	fail	pass	pass
ARG_PolyA_HCC1395_3_R2	ARG_PolyA_HCC1395_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38652466.0	5.7 Gbp	0.0	31-150	50.0	50.480393667172365	148.8919627016812	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
BMK_RiboZero_HCC1395BL_1_R1	BMK_RiboZero_HCC1395BL_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66695675.0	9.9 Gbp	0.0	15-150	44.0	40.62732991816036	149.51939709733801	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
BMK_RiboZero_HCC1395BL_1_R2	BMK_RiboZero_HCC1395BL_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66695675.0	9.9 Gbp	0.0	17-150	44.0	50.350840674377196	149.51932640309886	150	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
BMK_RiboZero_HCC1395BL_2_R1	BMK_RiboZero_HCC1395BL_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60832302.0	9 Gbp	0.0	31-150	45.0	41.424272771238705	149.5254594179257	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
BMK_RiboZero_HCC1395BL_2_R2	BMK_RiboZero_HCC1395BL_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60832302.0	9 Gbp	0.0	15-150	45.0	51.38557389089452	149.52535955321895	150	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
BMK_RiboZero_HCC1395BL_3_R1	BMK_RiboZero_HCC1395BL_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	69472519.0	10.3 Gbp	0.0	31-150	44.0	37.22494454586136	149.47181458901755	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
BMK_RiboZero_HCC1395BL_3_R2	BMK_RiboZero_HCC1395BL_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	69472519.0	10.3 Gbp	0.0	20-150	43.0	47.18280227194243	149.47181192609412	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BMK_RiboZero_HCC1395_1_R1	BMK_RiboZero_HCC1395_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64861668.0	9.6 Gbp	0.0	26-150	45.0	36.03064571023549	149.54447366355117	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BMK_RiboZero_HCC1395_1_R2	BMK_RiboZero_HCC1395_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64861668.0	9.6 Gbp	0.0	18-150	45.0	41.85803095529661	149.54462167084571	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BMK_RiboZero_HCC1395_2_R1	BMK_RiboZero_HCC1395_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62399465.0	9.3 Gbp	0.0	21-150	46.0	34.39477308044037	149.48915215859623	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
BMK_RiboZero_HCC1395_2_R2	BMK_RiboZero_HCC1395_2_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62399465.0	9.3 Gbp	0.0	15-150	46.0	43.71727721777508	149.48927764044132	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
BMK_RiboZero_HCC1395_3_R1	BMK_RiboZero_HCC1395_3_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65915483.0	9.8 Gbp	0.0	27-150	46.0	30.330762194446383	149.55155787904945	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
BMK_RiboZero_HCC1395_3_R2	BMK_RiboZero_HCC1395_3_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65915483.0	9.8 Gbp	0.0	20-150	46.0	35.825395782403774	149.55169335556565	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
MGI_PolyA_HCC1395BL_0313_1_R1	MGI_PolyA_HCC1395BL_0313_1_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39975098.0	5.9 Gbp	0.0	31-150	47.0	55.02513470126199	149.924719534146	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395BL_0313_1_R2	MGI_PolyA_HCC1395BL_0313_1_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39975098.0	5.9 Gbp	0.0	31-150	47.0	56.60451980314518	149.924719534146	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
MGI_PolyA_HCC1395BL_0313_2_R1	MGI_PolyA_HCC1395BL_0313_2_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39975589.0	5.9 Gbp	0.0	31-150	47.0	54.49562549895194	149.9258409675965	150	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
