Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ARG_PolyA_HCC1395BL_1_R1	54.14241337557847	50.0	148.10716081977475	150	10.0	39989765.0
ARG_PolyA_HCC1395BL_1_R2	51.93079074743382	49.0	148.10716081977475	150	10.0	39989765.0
ARG_PolyA_HCC1395BL_2_R1	59.46726329611411	48.0	149.35460257449867	150	10.0	39398428.0
ARG_PolyA_HCC1395BL_2_R2	57.214020348338	48.0	149.35460257449867	150	10.0	39398428.0
ARG_PolyA_HCC1395BL_3_R1	52.57492678479221	49.0	148.724058654949	150	10.0	39443560.0
ARG_PolyA_HCC1395BL_3_R2	49.4897542287014	49.0	148.724058654949	150	0.0	39443560.0
ARG_PolyA_HCC1395_1_R1	54.838000386876224	50.0	148.6502395498074	150	10.0	41169935.0
ARG_PolyA_HCC1395_1_R2	52.02303658322771	50.0	148.6502395498074	150	10.0	41169935.0
ARG_PolyA_HCC1395_2_R1	52.406825861833504	50.0	148.58026749463392	150	10.0	39781284.0
ARG_PolyA_HCC1395_2_R2	49.35537681982013	50.0	148.58026749463392	150	0.0	39781284.0
ARG_PolyA_HCC1395_3_R1	52.71431004390436	50.0	148.8919627016812	150	10.0	38652466.0
ARG_PolyA_HCC1395_3_R2	49.519606332827635	50.0	148.8919627016812	150	0.0	38652466.0
BMK_RiboZero_HCC1395BL_1_R1	59.37267008183964	44.0	149.51939709733801	150	18.181818181818183	66695675.0
BMK_RiboZero_HCC1395BL_1_R2	49.649159325622804	44.0	149.51932640309886	150	0.0	66695675.0
BMK_RiboZero_HCC1395BL_2_R1	58.575727228761295	45.0	149.5254594179257	150	18.181818181818183	60832302.0
BMK_RiboZero_HCC1395BL_2_R2	48.61442610910548	45.0	149.52535955321895	150	0.0	60832302.0
BMK_RiboZero_HCC1395BL_3_R1	62.77505545413864	44.0	149.47181458901755	150	18.181818181818183	69472519.0
BMK_RiboZero_HCC1395BL_3_R2	52.81719772805757	43.0	149.47181192609412	150	9.090909090909092	69472519.0
BMK_RiboZero_HCC1395_1_R1	63.96935428976451	45.0	149.54447366355117	150	18.181818181818183	64861668.0
BMK_RiboZero_HCC1395_1_R2	58.14196904470339	45.0	149.54462167084571	150	9.090909090909092	64861668.0
BMK_RiboZero_HCC1395_2_R1	65.60522691955963	46.0	149.48915215859623	150	27.27272727272727	62399465.0
BMK_RiboZero_HCC1395_2_R2	56.28272278222492	46.0	149.48927764044132	150	9.090909090909092	62399465.0
BMK_RiboZero_HCC1395_3_R1	69.66923780555362	46.0	149.55155787904945	150	27.27272727272727	65915483.0
BMK_RiboZero_HCC1395_3_R2	64.17460421759623	46.0	149.55169335556565	150	9.090909090909092	65915483.0
MGI_PolyA_HCC1395BL_0313_1_R1	44.97486529873801	47.0	149.924719534146	150	0.0	39975098.0
MGI_PolyA_HCC1395BL_0313_1_R2	43.39548019685482	47.0	149.924719534146	150	0.0	39975098.0
MGI_PolyA_HCC1395BL_0313_2_R1	45.50437450104806	47.0	149.9258409675965	150	0.0	39975589.0
MGI_PolyA_HCC1395BL_0313_2_R2	43.95102104034624	47.0	149.9258409675965	150	0.0	39975589.0
MGI_PolyA_HCC1395BL_0313_3_R1	45.71428710665024	47.0	149.92651176845175	150	0.0	37713712.0
MGI_PolyA_HCC1395BL_0313_3_R2	43.5631600767423	47.0	149.92651176845175	150	0.0	37713712.0
MGI_PolyA_HCC1395BL_1_1_R1	50.71834238199808	47.0	149.92542032261977	150	10.0	38509110.0
MGI_PolyA_HCC1395BL_1_1_R2	51.00595626597822	47.0	149.92542032261977	150	10.0	38509110.0
MGI_PolyA_HCC1395BL_1_2_R1	50.28759649754105	47.0	149.92695585228674	150	10.0	38021992.0
MGI_PolyA_HCC1395BL_1_2_R2	50.78312644147452	47.0	149.92695585228674	150	10.0	38021992.0
MGI_PolyA_HCC1395BL_1_3_R1	50.873598738747376	47.0	149.92849690718148	150	10.0	39104784.0
MGI_PolyA_HCC1395BL_1_3_R2	51.49696806509917	47.0	149.92849690718148	150	10.0	39104784.0
MGI_PolyA_HCC1395BL_1_R1	45.89406033512932	45.0	149.9322129043892	150	10.0	22659298.0
MGI_PolyA_HCC1395BL_1_R2	46.36918353476228	46.0	149.9322129043892	150	10.0	22659298.0
