Sample	5_3_bias	reads_aligned_overlapping_exon	reads_aligned_genes	reads_aligned_exonic	total_alignments	reads_aligned_intronic	not_aligned	bam_file	non_unique_alignments	reads_aligned	reads_aligned_intergenic	ambiguous_alignments
ARG_PolyA_HCC1395BL_1	1.23	3975486.0	61991106.0	61991106.0	84101290.0	10374306.0	731564.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	7036882.0	39623983.0	1762374.0	2916132.0
ARG_PolyA_HCC1395BL_2	1.16	4013744.0	61853498.0	61853498.0	82200096.0	9579012.0	604050.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	5944572.0	39096403.0	2359050.0	2443834.0
ARG_PolyA_HCC1395BL_3	1.22	4020264.0	61069864.0	61069864.0	82872452.0	10441526.0	686648.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	6782048.0	39100236.0	1683284.0	2875496.0
ARG_PolyA_HCC1395_1	1.23	4138993.0	66085082.0	66085082.0	86184974.0	9115676.0	308826.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	6066708.0	41015522.0	1289198.0	3616784.0
ARG_PolyA_HCC1395_2	1.18	4099123.0	63450632.0	63450632.0	83539424.0	9201118.0	310636.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	6178022.0	39625966.0	1169294.0	3529196.0
ARG_PolyA_HCC1395_3	1.22	3982872.0	61818744.0	61818744.0	81011614.0	8816364.0	279922.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	5808104.0	38512505.0	1125036.0	3432752.0
BMK_RiboZero_HCC1395BL_1	1.14	5661367.0	55403085.0	55403085.0	136032685.0	59861423.0	6234925.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395BL_1.Aligned.sortedByCoord.out.bam	11968033.0	63578209.0	5503710.0	3227690.0
BMK_RiboZero_HCC1395BL_2	1.12	5314174.0	51913501.0	51913501.0	124262179.0	53430822.0	5347603.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395BL_2.Aligned.sortedByCoord.out.bam	10780070.0	58158498.0	5033140.0	3043614.0
BMK_RiboZero_HCC1395BL_3	1.1	5674574.0	54352341.0	54352341.0	157945370.0	63228862.0	6290736.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395BL_3.Aligned.sortedByCoord.out.bam	30934799.0	66327149.0	5939938.0	3418596.0
BMK_RiboZero_HCC1395_1	1.14	6016045.0	60726972.0	60726972.0	135720632.0	48403441.0	6592994.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395_1.Aligned.sortedByCoord.out.bam	16155514.0	61565167.0	3904271.0	6483644.0
BMK_RiboZero_HCC1395_2	1.16	5797426.0	59979871.0	59979871.0	136933597.0	43302052.0	6253731.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395_2.Aligned.sortedByCoord.out.bam	22825368.0	59272598.0	3781514.0	7001626.0
BMK_RiboZero_HCC1395_3	1.16	6019596.0	61415251.0	61415251.0	165632338.0	45454480.0	5285422.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395_3.Aligned.sortedByCoord.out.bam	46782619.0	63272770.0	4207992.0	7728306.0
M8_2	1.07	4042151.0	81508664.0	81508664.0	230939458.0	62851159.0	3328200.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/M8_2.Aligned.sortedByCoord.out.bam	74888790.0	89146357.0	5017548.0	6579356.0
MGI_PolyA_HCC1395BL_0313_1	1.2	5124321.0	30815892.0	30815892.0	82894724.0	34417352.0	998918.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_0313_1.Aligned.sortedByCoord.out.bam	5893032.0	39475639.0	10987472.0	760498.0
MGI_PolyA_HCC1395BL_0313_2	1.2	5163462.0	30853500.0	30853500.0	82875134.0	34494692.0	976236.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_0313_2.Aligned.sortedByCoord.out.bam	5855376.0	39487471.0	10901628.0	749374.0
MGI_PolyA_HCC1395BL_0313_3	1.22	4804484.0	28995952.0	28995952.0	78156962.0	32563960.0	908934.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_0313_3.Aligned.sortedByCoord.out.bam	5435424.0	37259245.0	10437634.0	703870.0
MGI_PolyA_HCC1395BL_1	1.3	2036562.0	31840556.0	31840556.0	42627974.0	5816290.0	4447790.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	2656304.0	20435403.0	1008180.0	1294836.0
MGI_PolyA_HCC1395BL_1_1	1.2	4166319.0	54076368.0	54076368.0	73196322.0	10614306.0	6929328.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_1_1.Aligned.sortedByCoord.out.bam	4689236.0	35044446.0	1676344.0	2122382.0
MGI_PolyA_HCC1395BL_1_2	1.2	4112305.0	53517712.0	53517712.0	72271230.0	10304020.0	6859362.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_1_2.Aligned.sortedByCoord.out.bam	4693978.0	34592311.0	1585854.0	2152862.0
MGI_PolyA_HCC1395BL_1_3	1.21	4212490.0	54719142.0	54719142.0	74042166.0	10672860.0	7288084.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_1_3.Aligned.sortedByCoord.out.bam	4706206.0	35460742.0	1770198.0	2155728.0
MGI_PolyA_HCC1395BL_2	1.29	2069155.0	31926780.0	31926780.0	42593916.0	5752566.0	4433856.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	2624968.0	20429325.0	991952.0	1286448.0
MGI_PolyA_HCC1395BL_2_1	1.2	4227004.0	54980338.0	54980338.0	74438424.0	10739824.0	6894042.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2_1.Aligned.sortedByCoord.out.bam	4812086.0	35626035.0	1692988.0	2195354.0
MGI_PolyA_HCC1395BL_2_2	1.21	4223498.0	55357302.0	55357302.0	74702100.0	10562024.0	6962832.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2_2.Aligned.sortedByCoord.out.bam	4815278.0	35758101.0	1725090.0	2224768.0
MGI_PolyA_HCC1395BL_2_3	1.18	4266297.0	55194736.0	55194736.0	74833098.0	10911576.0	6706276.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_2_3.Aligned.sortedByCoord.out.bam	4826608.0	35818257.0	1655308.0	2226822.0
MGI_PolyA_HCC1395BL_3	1.29	2058050.0	31878148.0	31878148.0	42640850.0	5809264.0	4410628.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	2638912.0	20448283.0	1018790.0	1284022.0
MGI_PolyA_HCC1395BL_3_1	1.19	4141807.0	54303348.0	54303348.0	74114178.0	11035776.0	7361572.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3_1.Aligned.sortedByCoord.out.bam	4860474.0	35438611.0	1732850.0	2163644.0
MGI_PolyA_HCC1395BL_3_2	1.2	4164172.0	54482054.0	54482054.0	74040420.0	10915646.0	7163242.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3_2.Aligned.sortedByCoord.out.bam	4752278.0	35444118.0	1721214.0	2150868.0
MGI_PolyA_HCC1395BL_3_3	1.2	4078495.0	53302838.0	53302838.0	72816322.0	10865668.0	6863290.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395BL_3_3.Aligned.sortedByCoord.out.bam	4756912.0	34816782.0	1753646.0	2119398.0
MGI_PolyA_HCC1395_0313_1	1.18	5198853.0	32493180.0	32493180.0	82788876.0	33556664.0	665920.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_0313_1.Aligned.sortedByCoord.out.bam	5119402.0	39720479.0	10792172.0	817398.0
MGI_PolyA_HCC1395_0313_2	1.18	5208162.0	32327554.0	32327554.0	82485662.0	33540360.0	653864.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_0313_2.Aligned.sortedByCoord.out.bam	4926534.0	39640862.0	10872322.0	809136.0
MGI_PolyA_HCC1395_0313_3	1.15	5116833.0	32423980.0	32423980.0	82594566.0	33588394.0	610144.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_0313_3.Aligned.sortedByCoord.out.bam	4887900.0	39716623.0	10865300.0	819226.0
MGI_PolyA_HCC1395_1	1.27	2024554.0	32805674.0	32805674.0	42078106.0	4745150.0	4632324.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	2215456.0	20327756.0	759012.0	1547668.0
MGI_PolyA_HCC1395_1_1	1.17	4142257.0	56145670.0	56145670.0	73276470.0	9096490.0	7672578.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1_1.Aligned.sortedByCoord.out.bam	4175140.0	35277694.0	1188058.0	2663158.0
MGI_PolyA_HCC1395_1_2	1.16	4210963.0	56502052.0	56502052.0	73590556.0	9262454.0	7461766.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1_2.Aligned.sortedByCoord.out.bam	4004950.0	35497792.0	1155350.0	2657522.0
MGI_PolyA_HCC1395_1_3	1.18	4199274.0	56379826.0	56379826.0	73377148.0	9084970.0	7463604.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_1_3.Aligned.sortedByCoord.out.bam	4020066.0	35388699.0	1210456.0	2674044.0
MGI_PolyA_HCC1395_2	1.24	1974750.0	32528510.0	32528510.0	41871362.0	4856826.0	4630922.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	2246154.0	20210516.0	732960.0	1501830.0
MGI_PolyA_HCC1395_2_1	1.16	4112069.0	56184730.0	56184730.0	73748166.0	9317068.0	7575630.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2_1.Aligned.sortedByCoord.out.bam	4356122.0	35430058.0	1220488.0	2661432.0
MGI_PolyA_HCC1395_2_2	1.17	4013131.0	54587588.0	54587588.0	71236032.0	8885906.0	7361948.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2_2.Aligned.sortedByCoord.out.bam	3999204.0	34322558.0	1171802.0	2583588.0
MGI_PolyA_HCC1395_2_3	1.17	4172755.0	56489852.0	56489852.0	73587882.0	9216654.0	7577190.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_2_3.Aligned.sortedByCoord.out.bam	4023078.0	35491107.0	1190700.0	2659258.0
MGI_PolyA_HCC1395_3	1.28	2008972.0	32925564.0	32925564.0	42089588.0	4726706.0	4439750.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	2188716.0	20341392.0	679420.0	1564134.0
MGI_PolyA_HCC1395_3_1	1.17	4060387.0	54833462.0	54833462.0	71359480.0	8885532.0	6883170.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3_1.Aligned.sortedByCoord.out.bam	3908078.0	34409833.0	1122664.0	2601506.0
MGI_PolyA_HCC1395_3_2	1.16	3542460.0	47727580.0	47727580.0	62025502.0	7756652.0	5938148.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3_2.Aligned.sortedByCoord.out.bam	3382654.0	29913295.0	966364.0	2185126.0
MGI_PolyA_HCC1395_3_3	1.17	4143230.0	56605980.0	56605980.0	73789588.0	9175650.0	7211158.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_PolyA_HCC1395_3_3.Aligned.sortedByCoord.out.bam	4162014.0	35533631.0	1214514.0	2623182.0
MGI_RiboZero_HCC1395BL_1	1.11	2477475.0	26642294.0	26642294.0	61956276.0	25695920.0	17887298.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395BL_1.Aligned.sortedByCoord.out.bam	5506146.0	29200348.0	2206530.0	1875886.0
MGI_RiboZero_HCC1395BL_2	1.11	3205246.0	33498836.0	33498836.0	79808968.0	33682310.0	1069146.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/MGI_RiboZero_HCC1395BL_2.Aligned.sortedByCoord.out.bam	7351240.0	37522909.0	2862526.0	2376216.0
