Sample	total_alignments	reads_aligned_exonic	reads_aligned	non_unique_alignments	reads_aligned_overlapping_exon	bam_file	ambiguous_alignments	reads_aligned_intergenic	reads_aligned_intronic	not_aligned	5_3_bias	reads_aligned_genes
ARG_PolyA_HCC1395BL_1	84101290.0	61991106.0	39623983.0	7036882.0	3975486.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395BL_1.Aligned.sortedByCoord.out.bam	2916132.0	1762374.0	10374306.0	731564.0	1.23	61991106.0
ARG_PolyA_HCC1395BL_2	82200096.0	61853498.0	39096403.0	5944572.0	4013744.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395BL_2.Aligned.sortedByCoord.out.bam	2443834.0	2359050.0	9579012.0	604050.0	1.16	61853498.0
ARG_PolyA_HCC1395BL_3	82872452.0	61069864.0	39100236.0	6782048.0	4020264.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395BL_3.Aligned.sortedByCoord.out.bam	2875496.0	1683284.0	10441526.0	686648.0	1.22	61069864.0
ARG_PolyA_HCC1395_1	86184974.0	66085082.0	41015522.0	6066708.0	4138993.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395_1.Aligned.sortedByCoord.out.bam	3616784.0	1289198.0	9115676.0	308826.0	1.23	66085082.0
ARG_PolyA_HCC1395_2	83539424.0	63450632.0	39625966.0	6178022.0	4099123.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395_2.Aligned.sortedByCoord.out.bam	3529196.0	1169294.0	9201118.0	310636.0	1.18	63450632.0
ARG_PolyA_HCC1395_3	81011614.0	61818744.0	38512505.0	5808104.0	3982872.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/ARG_PolyA_HCC1395_3.Aligned.sortedByCoord.out.bam	3432752.0	1125036.0	8816364.0	279922.0	1.22	61818744.0
BMK_RiboZero_HCC1395BL_1	136032685.0	55403085.0	63578209.0	11968033.0	5661367.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395BL_1.Aligned.sortedByCoord.out.bam	3227690.0	5503710.0	59861423.0	6234925.0	1.14	55403085.0
BMK_RiboZero_HCC1395BL_2	124262179.0	51913501.0	58158498.0	10780070.0	5314174.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395BL_2.Aligned.sortedByCoord.out.bam	3043614.0	5033140.0	53430822.0	5347603.0	1.12	51913501.0
BMK_RiboZero_HCC1395BL_3	157945370.0	54352341.0	66327149.0	30934799.0	5674574.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395BL_3.Aligned.sortedByCoord.out.bam	3418596.0	5939938.0	63228862.0	6290736.0	1.1	54352341.0
BMK_RiboZero_HCC1395_1	135720632.0	60726972.0	61565167.0	16155514.0	6016045.0	/cpfs01/projects-HDD/cfff-e44ef5cf7aa5_HDD/dsm_23110700129/HCC1395_RNA/STAR/results/star/BMK_RiboZero_HCC1395_1.Aligned.sortedByCoord.out.bam	6483644.0	3904271.0	48403441.0	6592994.0	1.14	60726972.0
