Batch,mean_bq,sd_bq,,mean_gc,sd_gc,,mean_total,sd_total,
ARG_PolyA_HCC1395,99.3,0.41,99.3¡À0.41,50,0,50¡À0,39.87,1.13,39.87¡À1.13
ARG_PolyA_HCC1395BL,99.38,0.34,99.38¡À0.34,48.83,0.75,48.83¡À0.75,39.61,0.29,39.61¡À0.29
BMK_RiboZero_HCC1395,98.77,0.17,98.77¡À0.17,45.67,0.52,45.67¡À0.52,64.39,1.61,64.39¡À1.61
BMK_RiboZero_HCC1395BL,98.91,0.23,98.91¡À0.23,44.17,0.75,44.17¡À0.75,65.67,3.95,65.67¡À3.95
MGI_PolyA-T_HCC1395,96.24,3.06,96.24¡À3.06,48,0,48¡À0,40.01,0.04,40.01¡À0.04
MGI_PolyA-T_HCC139BL,96.1,3.23,96.1¡À3.23,47,0,47¡À0,39.22,1.17,39.22¡À1.17
MGI_PolyA_HCC1395,97.56,1.19,97.56¡À1.19,47.29,0.86,47.29¡À0.86,34.3,7.12,34.3¡À7.12
MGI_PolyA_HCC1395BL,97.58,1.11,97.58¡À1.11,46.71,0.55,46.71¡À0.55,34.79,7.17,34.79¡À7.17
MGI_RiboZero_HCC1395,96.89,0.87,96.89¡À0.87,48.5,0.55,48.5¡À0.55,38.13,0.15,38.13¡À0.15
MGI_RiboZero_HCC1395BL,96.88,0.44,96.88¡À0.44,47.17,0.75,47.17¡À0.75,38.04,0.1,38.04¡À0.1
NVG_PolyA_HCC1395,98.3,0.28,98.3¡À0.28,50,0,50¡À0,34.3,0.79,34.3¡À0.79
NVG_PolyA_HCC1395BL,98.3,0.34,98.3¡À0.34,49,0,49¡À0,35.07,1.53,35.07¡À1.53
SEQ_PolyA_HCC1395,99.73,0.19,99.73¡À0.19,47,0,47¡À0,46.71,4.16,46.71¡À4.16
SEQ_PolyA_HCC1395BL,99.74,0.19,99.74¡À0.19,46.25,0.45,46.25¡À0.45,51.03,4.31,51.03¡À4.31
SEQ_RiboZero_HCC1395,99.13,0.86,99.13¡À0.86,45.67,0.49,45.67¡À0.49,65.45,3.9,65.45¡À3.9
SEQ_RiboZero_HCC1395BL,99.06,0.93,99.06¡À0.93,43.33,0.49,43.33¡À0.49,68.24,3.3,68.24¡À3.3
