Batch,mean_pl,sd_pl,,mean_rn,sd_rn,
ARG_PolyA_HCC1395,0.35,0.02,0.35¡À0.02,6.05,0.56,6.05¡À0.56
ARG_PolyA_HCC1395BL,0.71,0.07,0.71¡À0.07,12.38,4.61,12.38¡À4.61
BMK_RiboZero_HCC1395,1.5,0.72,1.5¡À0.72,6.6,2.54,6.6¡À2.54
BMK_RiboZero_HCC1395BL,1.18,0.43,1.18¡À0.43,4.43,1.33,4.43¡À1.33
MGI_PolyA-M_HCC1395,0.26,0.06,0.26¡À0.06,5.07,0.19,5.07¡À0.19
MGI_PolyA-M_HCC1395BL,0.51,0.04,0.51¡À0.04,8.1,0.28,8.1¡À0.28
MGI_PolyA-T_HCC1395,0.25,0.03,0.25¡À0.03,5.26,0.11,5.26¡À0.11
MGI_PolyA-T_HCC1395BL,0.58,0.03,0.58¡À0.03,8.04,0.06,8.04¡À0.06
MGI_RiboZero_HCC1395,0.46,0.17,0.46¡À0.17,0.64,0.07,0.64¡À0.07
MGI_RiboZero_HCC1395BL,0.65,0.13,0.65¡À0.13,0.66,0.09,0.66¡À0.09
NVG_PolyA_HCC1395,0.6,0.06,0.6¡À0.06,5.72,0.14,5.72¡À0.14
NVG_PolyA_HCC1395BL,1.07,0.04,1.07¡À0.04,7.55,1.2,7.55¡À1.2
SEQ_PolyA_HCC1395,0.38,0.03,0.38¡À0.03,6.47,0.22,6.47¡À0.22
SEQ_PolyA_HCC1395BL,0.66,0.03,0.66¡À0.03,9.87,0.19,9.87¡À0.19
SEQ_RiboZero_HCC1395,0.49,0.05,0.49¡À0.05,2.01,0.17,2.01¡À0.17
SEQ_RiboZero_HCC1395BL,0.73,0.05,0.73¡À0.05,2.09,0.23,2.09¡À0.23
